	dass	dfcp
psyche	2.0	
usä	2.0	
redactedQ8tokens35characters	2.0	
ins	2.0	
sport	2.0	
momentan	2.0	
chind	2.0	
bevor	2.0	
biere	2.0	
schlafe	2.0	
Mer	2.0	
redactedQ20tokens99characters	2.0	
Ooh	2.0	
emojiQdashSymbol	2.0	
une	2.0	
während	2.0	
maschenka	2.0	
mun	2.0	
haare	2.0	
ligge	2.0	
gemeint	2.0	
Mögest	2.0	
hessig	2.0	
ca	2.0	
wohnt	2.0	
bitte	2.0	
übernimmt	2.0	
schade	2.0	
mitmache	2.0	
sexy	2.0	
besthi	2.0	
alütet	2.0	
beidne	2.0	
wiedermal	2.0	
note	2.0	
zahled	2.0	
viellicht	2.0	
jahr	2.0	
redactedQ3tokens9characters	2.0	
jk	2.0	
Alles	2.0	
Team	2.0	
rude	2.0	
hoff	2.0	
emojiQsmilingFaceWithHorns	2.0	1.0
sxhafft	2.0	
ghöre	2.0	
nebesatz	2.0	
liecht	2.0	
schnorre	2.0	
Mier	2.0	
carmela	2.0	
när	2.0	1.0
müesst	2.0	
Stund	2.0	
Schluss	2.0	
iri	2.0	
wichtig	2.0	
redactedQ4tokens25characters	2.0	
schicke	2.0	
gliich	2.0	
Will	2.0	
ihne	2.0	
iehr	2.0	
liid	2.0	1.0
U	2.0	
Weisch	2.0	
erfahred	2.0	
redactedQ14tokens64characters	2.0	
hinder	2.0	
rächt	2.0	1.0
ändere	2.0	
still	2.0	
wege	2.0	
redactedQ11tokens69characters	2.0	
däm	2.0	
zimmer	2.0	
bruuche	2.0	
eisytig	2.0	
weissi	2.0	
chalt	2.0	
Syrinne	2.0	
entscheide	2.0	
gits	2.0	
Basel	2.0	
ufe	2.0	
fühl	2.0	
söt	2.0	
chrisle	2.0	
läbe	2.0	
gno	2.0	
redactedQ7tokens30characters	2.0	
nett	2.0	
Pfuus	2.0	
immerno	2.0	
chönntisch	2.0	
aisha	2.0	
dri	2.0	
dases	2.0	
wil	2.0	
redactedQ13tokens75characters	2.0	
x	2.0	
Kosovo	2.0	
vode	2.0	
iifersüchtig	2.0	
damals	2.0	
mönd	2.0	
löse	2.0	
tawa	2.0	
SMS	2.0	
total	2.0	
Kater	2.0	
muus	2.0	
nüme	2.0	
näh	2.0	
chopfweh	2.0	
redactedQ2tokens15characters	2.0	
Heschs	2.0	
eso	2.0	1.0
nützt	2.0	
Chind	2.0	
hoffi	2.0	
debii	2.0	
gahts	2.0	
gla	2.0	
ängst	2.0	
gruppe	2.0	
wänn	2.0	
haar	2.0	1.0
relativ	2.0	
Facebook-Account	2.0	
Bis	2.0	2.0
garnüd	2.0	
jemals	2.0	
redactedQ7tokens29characters	2.0	
emojiQflexedBiceps	2.0	
redactedQ7tokens41characters	2.0	
auch	2.0	
7.	2.0	
glaube	2.0	1.0
sondern	2.0	
isches	2.0	
wot	2.0	
gspröch	2.0	
marie-jo	2.0	
träum	2.0	
ferie	2.0	
hocke	2.0	
beziehig	2.0	
iiversüchtig	2.0	
findi	2.0	
enorm	2.0	
fraue	2.0	
ellei	2.0	
oderso	2.0	
locker	2.0	1.0
abo	2.0	
Männer	2.0	
gfalle	2.0	
persönlich	2.0	
gseid	2.0	
Muus	2.0	
Nenei	2.0	
test	2.0	
behandlet	2.0	
nohair	2.0	
Jiaa	2.0	
beliebt	2.0	
weisses	2.0	
ohh	2.0	
glaubt	2.0	
Sex	2.0	
gut	2.0	
luegsh	2.0	
flügsch	2.0	
pa	2.0	
warte	2.0	
hör	2.0	
med	2.0	
emojiQangryFace	2.0	
lache	2.0	
früehner	2.0	
Ouu	2.0	1.0
Sind	2.0	
pic	2.0	
uuf	2.0	
häre	2.0	1.0
schribsch	2.0	
lehr	2.0	
Luft	2.0	
15	2.0	
emojiQsplashingSweatSymbol	2.0	
erscht	2.0	
ächt	2.0	
gschriebe	2.0	
noo	2.0	
gmerkt	2.0	
buch	2.0	
meint	2.0	1.0
Jojo	2.0	
Ort	2.0	
dassi	2.0	1.0
cd	2.0	
ufem	2.0	1.0
risige	2.0	
zügle	2.0	
söttsch	2.0	
ghört	2.0	
redactedQ13tokens53characters	2.0	
anderen	2.0	
kontakt	2.0	
aaber	2.0	
wiitergebe	2.0	
leid	2.0	
lust	2.0	
nutzer	2.0	
Schatz	2.0	
eusi	2.0	
mitchume	2.0	
emojiQconfoundedFace	2.0	
platz	2.0	
böhi	2.0	
Lug	2.0	1.0
ewig	2.0	
14.	2.0	
redactedQ6tokens36characters	2.0	
hollä	2.0	
verstahsch	2.0	
schimpfsch	1.0	
süscht	1.0	
studiere	1.0	
kompanie	1.0	
räscht	1.0	
Chance	1.0	
zugsobe	1.0	
verkackt	1.0	
15.00	1.0	
anschienend	1.0	
blibsch	1.0	
entlah	1.0	
dägli	1.0	
gfreut	1.0	
arbeite	1.0	
evangelistä	1.0	
zfhr	1.0	
Egoist	1.0	
uusgschlafe	1.0	
ahfigge	1.0	
emojiQdisappointedFace	1.0	
Funkverkehr	1.0	
stahd	1.0	
hami	1.0	
wohne	1.0	
dann	1.0	
hetsch	1.0	
hstande	1.0	
ski	1.0	1.0
possitiv	1.0	
bliebä	1.0	
DE	1.0	
UND	1.0	
tune	1.0	
chim	1.0	
verzellt	1.0	
heute	1.0	
Liebe	1.0	
öperem	1.0	
sehen	1.0	
iikomme	1.0	
Chur	1.0	
freiwillig	1.0	
zweimol	1.0	
negscht	1.0	
machst	1.0	
elite	1.0	
aufstehe	1.0	
Überleisch	1.0	
totechopf	1.0	
Sibylle	1.0	
redactedQ28tokens119characters	1.0	
holt	1.0	
chröndli	1.0	
fasnacht	1.0	
zusammen	1.0	
ohhh	1.0	
CHUNNSCH	1.0	
=)	1.0	
grundgno	1.0	
jp	1.0	
ganzen	1.0	
Stellet	1.0	
drei	1.0	
däg	1.0	
niveau	1.0	
Gratulation	1.0	
minimal	1.0	
Au	1.0	
hochem	1.0	
gläse	1.0	
möglichkeit	1.0	
19.8.	1.0	
UO	1.0	
19.	1.0	
ersticke	1.0	
nummere	1.0	
vorschribe	1.0	
ändern	1.0	
zueloht	1.0	
ihzoge	1.0	
troche	1.0	
höchstens	1.0	
redactedQ19tokens103characters	1.0	
rechnig	1.0	
wells	1.0	
abfacklet	1.0	
wald	1.0	
wäsche	1.0	
Hock	1.0	
Has	1.0	
fett	1.0	
friedlich	1.0	
ihrücke	1.0	
getue	1.0	
emojiQpersonWithPoutingFace	1.0	
gschneit	1.0	
ABIG	1.0	
nimmst	1.0	
useforderisch	1.0	
wildi	1.0	
Strategien	1.0	
renne	1.0	
faul	1.0	
abgseid	1.0	
Pdg	1.0	
lösigä	1.0	
Patrouille	1.0	
Hihi	1.0	
GLIICHE	1.0	
glaciers	1.0	
abgnoh	1.0	
sehe	1.0	
Geile	1.0	
beschisse	1.0	
sprängige	1.0	
kg	1.0	
namittag	1.0	
abcerdiene	1.0	
gsehnd	1.0	
homos	1.0	
gschiffet	1.0	
klappe	1.0	
ufgäh	1.0	
üblich	1.0	
Baby	1.0	
vorziitig	1.0	
Obwohl	1.0	
zlang	1.0	
stoh	1.0	
wiehnachtsgschänkli	1.0	
Fleisch	1.0	
marietta	1.0	
fründe	1.0	
gntm	1.0	
sibylle	1.0	
kandidatinne	1.0	
passe	1.0	
Et	1.0	
Chönd	1.0	
7te	1.0	
redactedQ9tokens37characters	1.0	
glücklicher	1.0	
Samschtig	1.0	
flüge	1.0	
uuswiche	1.0	
riitstunde	1.0	
chochbuech	1.0	
gläge	1.0	
überzüüges	1.0	
sprüch	1.0	
willi	1.0	
redactedQ4tokens33characters	1.0	
närved	1.0	
xeehnd	1.0	
make-up	1.0	
ton	1.0	
zfinde	1.0	
ähnlich	1.0	
prüefig	1.0	
gschlafe	1.0	
luschtiger	1.0	
9i	1.0	
Yeeeii	1.0	
höche	1.0	
temperature	1.0	
zelebriersch	1.0	
reparatur	1.0	
sibni	1.0	
Det	1.0	
schlahd	1.0	
überarbeitisch	1.0	
11.30	1.0	
redactedQ12tokens54characters	1.0	
pünklich	1.0	
gueti	1.0	
And	1.0	
Dä	1.0	
Beasts	1.0	
Bliib	1.0	
ahschiisse	1.0	
gisch	1.0	
rowling	1.0	
redactedQ7tokens23characters	1.0	
Fantastic	1.0	
verpennsch	1.0	
mitumätreit	1.0	
fotilade	1.0	
suuber	1.0	
wraps	1.0	
Für	1.0	
ufgstande	1.0	
Grund	1.0	
diich	1.0	
suscht	1.0	
Find	1.0	
Mehli	1.0	
Video	1.0	
bildli	1.0	
tusched	1.0	
kommentiert	1.0	
To	1.0	
Hett	1.0	
abmachä	1.0	
gfragt	1.0	
Where	1.0	
Lust	1.0	
defür	1.0	
nämed	1.0	
glehrt	1.0	
longiert	1.0	
Ilse	1.0	
muesse	1.0	
Fahr	1.0	
gäbu	1.0	
Muhahaha	1.0	
umbedingt	1.0	
Chunsch	1.0	
usechunnt	1.0	
bretter	1.0	
schlofsch	1.0	
zviel	1.0	
miis	1.0	
iischlafed	1.0	
Macht	1.0	
pressiert	1.0	
pyji	1.0	
schleife	1.0	
ticket	1.0	
Mitspieler	1.0	
redactedQ3tokens20characters	1.0	
zukinft	1.0	
bier	1.0	
Jap	1.0	
kaufe	1.0	
schuele	1.0	
nöchscht	1.0	
jeder	1.0	
einzell	1.0	
insulinmangel	1.0	
settisch	1.0	
einem	1.0	
schwyz	1.0	
entdüscht	1.0	
trampeltier	1.0	
rund-mail	1.0	
mitarbeiter	1.0	
margarita	1.0	
usenand	1.0	
Stück	1.0	
emojiQpersonWithBlondHair	1.0	
codes	1.0	
hirzel	1.0	
luschtig	1.0	
meeting	1.0	
Chunnsch	1.0	
verchündet	1.0	
emojiQsleepyFace	1.0	
pegah	1.0	
team	1.0	
art	1.0	
Voooooll	1.0	
einer	1.0	
schaff	1.0	
redactedQ8tokens28characters	1.0	
veränderig	1.0	
reis	1.0	
duruf	1.0	
miich	1.0	
mitgno	1.0	
brunched	1.0	
redactedQ12tokens61characters	1.0	
gruppechat	1.0	
diir	1.0	
chliises	1.0	
frische	1.0	
blauliecht	1.0	
tschänkli	1.0	
Neue	1.0	
Froi	1.0	
emojiQhearNoEvilMonkey	1.0	
Vergisses	1.0	
v-zug	1.0	
überholt	1.0	
stell	1.0	
Polizeiauto	1.0	
überchoh	1.0	
adenkt	1.0	
usnütze	1.0	
Vorwurf	1.0	
buy	1.0	
WHY	1.0	
whyyy	1.0	
hetsh	1.0	
spanish	1.0	
nimsh	1.0	
ewr	1.0	
lame	1.0	
Did	1.0	
finn	1.0	
verwütscht	1.0	
SO	1.0	
yes	1.0	
for	1.0	
nono	1.0	
american	1.0	
uiiii	1.0	
apparel	1.0	
wäsch	1.0	
usegönd	1.0	
machemer	1.0	
letshte	1.0	
ebä	1.0	
raucht	1.0	
divergent	1.0	
haltig	1.0	
fehl	1.0	
emojiQmapleLeaf	1.0	
Yass	1.0	
child	1.0	
leave	1.0	
führe	1.0	
alonr	1.0	
fühlsch	1.0	
explodiert	1.0	
töggelä	1.0	
droge	1.0	
nemet	1.0	
smh	1.0	
chleidli	1.0	
aprobiert	1.0	
reblogge	1.0	
isj	1.0	
zeiche	1.0	
soviel	1.0	
jass	1.0	
ishdin	1.0	
Ab	1.0	
truu	1.0	
Tru	1.0	
drilueged	1.0	
Fashion	1.0	
hilfsh	1.0	
idee	1.0	
doesnt	1.0	
maschine	1.0	
cold	1.0	
same	1.0	
Müsst	1.0	
Awww	1.0	
fröge	1.0	
shlafe	1.0	
Tiens	1.0	
gfärbt	1.0	
tiens	1.0	
style	1.0	
emo	1.0	
spongebob	1.0	
zeichnet	1.0	
shwiiz	1.0	
O	1.0	
ahja	1.0	
Katz	1.0	
verzichte	1.0	
Abend	1.0	
sté	1.0	
merket	1.0	
nahh	1.0	
kind	1.0	
Chash	1.0	
reblogsh	1.0	
sideblog	1.0	
heeeyyy	1.0	
vergisst	1.0	
usversehe	1.0	
beileid	1.0	
alüte	1.0	
wösch	1.0	
fallt	1.0	
shwizer	1.0	
En	1.0	
minere	1.0	
abwehr	1.0	
keinä	1.0	
frage	1.0	
site	1.0	
Eif	1.0	
wort	1.0	
gschide	1.0	
Off	1.0	
fahrprüefig	1.0	
letsht	1.0	
blockt	1.0	
imessage	1.0	
giits	1.0	
crappy	1.0	
hetts	1.0	
zude	1.0	
pasta	1.0	
molly	1.0	
blogs	1.0	
zemehang	1.0	
Oder	1.0	
schisst	1.0	
bronyd	1.0	
bxa	1.0	
harald	1.0	
jets	1.0	
again	1.0	
gigantesqur	1.0	
verhungere	1.0	
MEME	1.0	
good	1.0	
denkets	1.0	
Sush	1.0	
Grûess	1.0	
amne	1.0	
tüends	1.0	
volle	1.0	
http://onlycareboutwifi.tumblr.com/post/NNNNNNNNNNN/fangirltothefullest-this-is-the-creepiest	1.0	
wait	1.0	
as	1.0	
onerepublic	1.0	
pausä	1.0	
supiiii	1.0	
budget-bull	1.0	
Weint	1.0	
ignoriersh	1.0	
tumblr	1.0	
zirkuliert	1.0	
shöne	1.0	
baum	1.0	
verlängerä	1.0	
euses	1.0	
chumsh	1.0	
tinetta	1.0	
kuscheln	1.0	
Melu	1.0	
lindu	1.0	
marwin	1.0	
tattoos	1.0	
Ganz	1.0	
schnidet	1.0	
eint	1.0	
gschenkparadies	1.0	
aha	1.0	
lis	1.0	
extra	1.0	
usgseh	1.0	
transformation	1.0	
gsesh	1.0	
Gits	1.0	
yay	1.0	
taggt	1.0	
thanks	1.0	
emojiQraisedHand	1.0	
guess	1.0	
fröhlich	1.0	
befor	1.0	
hine	1.0	
langets	1.0	
ligt	1.0	
rucke	1.0	
dominant	1.0	
pics	1.0	
Keinl	1.0	
wat	1.0	
Brucht	1.0	
guetschii	1.0	
sheisse	1.0	
frist	1.0	
shissi	1.0	
nohairs	1.0	
awww	1.0	
wolke	1.0	
trifft	1.0	
hangä	1.0	
stolz	1.0	
eimol	1.0	
tröged	1.0	
liebste	1.0	
aschluss	1.0	
schlechti	1.0	
ukrainer	1.0	
europäer	1.0	
Seg	1.0	
krim	1.0	
russisch	1.0	
ufstoh	1.0	
melded	1.0	
finded	1.0	
chrieg	1.0	
gfroget	1.0	
schaffs	1.0	
Jedi	1.0	
info	1.0	
WTF	1.0	
ghöcklet	1.0	
Morn	1.0	
froged	1.0	
gänderet	1.0	
Sowohl	1.0	
bringst	1.0	
faction	1.0	
staubsuger	1.0	
Oo	1.0	
curry	1.0	
carry	1.0	
gossau	1.0	
amigs	1.0	
obwohls	1.0	
funktioniered	1.0	
gwöhnt	1.0	
müesä	1.0	
macheder	1.0	
Lachen	1.0	
ami-nummere	1.0	
wölle	1.0	
natürli	1.0	
villicht	1.0	
bisherig	1.0	
Btw	1.0	
verwütschesch	1.0	
Schicke	1.0	
teletubby	1.0	
alfredo	1.0	
bsuech	1.0	
ufgobe	1.0	
backstage	1.0	
muni	1.0	2.0
NNNN.-	1.0	2.0
3er	1.0	
einiges	1.0	
arbetsziit	1.0	
hihii	1.0	
fake	1.0	
schneller	1.0	
finde	1.0	
vip	1.0	
wönd	1.0	
spotdienst	1.0	
bereich	1.0	
gruusig	1.0	
Nikotin	1.0	
Uszieh	1.0	
gläsli	1.0	
fläschli	1.0	
Okey	1.0	
klönet	1.0	
zweiti	1.0	2.0
GA	1.0	2.0
rechne	1.0	2.0
schlimmer	1.0	
Meinsch	1.0	
wen	1.0	
bestoh	1.0	
seriös	1.0	
murs	1.0	
pfarrer	1.0	
windpockä	1.0	
husi	1.0	
spil	1.0	
lager	1.0	
Bim	1.0	
scores	1.0	
high	1.0	
blödm	1.0	
oktober	1.0	
amig	1.0	
break	1.0	
meniskus	1.0	
bewusst	1.0	
wanderschueh	1.0	
renn	1.0	
besseri	1.0	
andersh	1.0	
Umm	1.0	
its	1.0	
verwacht	1.0	
obvious	1.0	
bruhs	1.0	
weak	1.0	
bus	1.0	
kno	1.0	
englischsprochrum	1.0	
meinsh	1.0	
Frögt	1.0	
versteckt	1.0	
wöllä	1.0	
Stell	1.0	
objekt	1.0	
ewigkeite	1.0	
aktiver	1.0	
pimp	1.0	
Ooooo	1.0	
rickrolled	1.0	
fakedavid	1.0	
julien	1.0	
ufsezt	1.0	
gsicht	1.0	
flagge	1.0	
patriote	1.0	
blueme	1.0	
wiso	1.0	
creeper	1.0	
denket	1.0	
shocked	1.0	
emoji	1.0	
langwilig	1.0	
fit	1.0	
säck	1.0	
atwortet	1.0	
frög	1.0	
Gahn	1.0	
Hoff	1.0	
putin	1.0	
langet	1.0	
nimsch	1.0	
aw	1.0	
Benutzer	1.0	
läck	1.0	
anewörft	1.0	
verlinke	1.0	
aleish	1.0	
ende	1.0	
xtra	1.0	
chinese	1.0	
vorwärts	1.0	
arta	1.0	
unterschiedlichi	1.0	
glichgwicht	1.0	
verschiebed	1.0	
nööö	1.0	
seget	1.0	
rollebilder	1.0	
http://www.blick.ch/news/ausland/eine-sekunde-werbung-kostet-NNNNN-dollar-idNNNNNNN.html	1.0	
Goht	1.0	
Jaaaaa	1.0	
umweg	1.0	
tests	1.0	
training	1.0	
boarde	1.0	
effizient	1.0	
jop	1.0	
:'-(	1.0	
baden	1.0	
Y	1.0	
hihi	1.0	
bida	1.0	
glückspilz	1.0	
reformierte	1.0	
ahhha	1.0	
screnie	1.0	
chraft	1.0	
bitzeli	1.0	
zemebricht	1.0	
Zishtig	1.0	
seged	1.0	
fähled	1.0	
mittwuch	1.0	
[StreetAddress]	1.0	
Same	1.0	
brüner	1.0	
backe	1.0	
stirn	1.0	
cryin	1.0	
bks	1.0	
cry	1.0	
teil-fixzahlig	1.0	
Ansprüche	1.0	
Kommunikation	1.0	
chöme	1.0	
redactedQ5tokens31characters	1.0	
enang	1.0	
uswyche	1.0	
wyt	1.0	
Schtund	1.0	
lege	1.0	
family	1.0	
bequemi	1.0	
eure	1.0	
Bedürfnisse	1.0	
unterschiedlich	1.0	
versprich	1.0	
gilt	1.0	
euch	1.0	
gelingen	1.0	
noé	1.0	
euren	1.0	
finden	1.0	
yproche	1.0	
würdisch	1.0	
Gruess	1.0	
lengeri	1.0	
Zyt	1.0	
dürehautet	1.0	
z.B.	1.0	
eigentliche	1.0	
Ougemerk	1.0	
günnt	1.0	
alüge	1.0	
ees	1.0	
diiich	1.0	
abgholt	1.0	
emoci	1.0	
giiiiiibt	1.0	
gibe	1.0	
Müeji	1.0	
Wäg	1.0	
Schtress	1.0	
Umwäg	1.0	
sonen	1.0	
schtercher	1.0	
meischtens	1.0	
Wäut	1.0	
allgemein	1.0	
Spezielle	1.0	
gäge	1.0	
seje	1.0	
brücht	1.0	
Thematik	1.0	
Alteh	1.0	
Rolle	1.0	
durend	1.0	
schwäbsch	1.0	
Der	1.0	
hettisch	1.0	
Edelsteine	1.0	
ausweiche	1.0	
überchunnt	1.0	
Z'	1.0	
Spiez	1.0	
vermuetlech	1.0	
truurig	1.0	
Antwort	1.0	
Frag	1.0	
vilecht	1.0	
Blockade	1.0	
dänke	1.0	
solchen	1.0	
gesprächen	1.0	
redactedQ8tokens37characters	1.0	
Lebe	1.0	
gloube	1.0	
nöch	1.0	
Freunde	1.0	
Schlüssu	1.0	
Dänk	1.0	
irgendwo	1.0	
Huus	1.0	
Wohlfüel-Egge	1.0	
schtimmt	1.0	
D'	1.0	
Yschtellig	1.0	
derby	1.0	
Luigi	1.0	
Gägeteil	1.0	
furt	1.0	
Toucher	1.0	
Zämebruch	1.0	
TILT	1.0	
vertrybe	1.0	
erchennt	1.0	
Zischtig	1.0	
redactedQ28tokens147characters	1.0	
perfekts	1.0	
numme	1.0	
Bedürfnis	1.0	
gwächslet	1.0	
Version	1.0	
Vermuetlech	1.0	
zurächt	1.0	
redactedQ35tokens177characters	1.0	
redactedQ30tokens172characters	1.0	
sterbe	1.0	
vili	1.0	
funktionierendi	1.0	
Partnerschafte	1.0	
extrem	1.0	
Materielle	1.0	
nützlech	1.0	
praktisch	1.0	
trotzdäm	1.0	
emotionale	1.0	
duredräit	1.0	
nathy	1.0	
fleisch	1.0	
vöu	1.0	
ballerinas	1.0	
mösst	1.0	
amälde	1.0	
redactedQ14tokens82characters	1.0	
schono	1.0	
europapark	1.0	
teuta	1.0	
Gniess	1.0	
seht	1.0	
samschtig	1.0	
horror-revival	1.0	
gieng	1.0	
choschtet	1.0	
verbleiben	1.0	
gloub	1.0	
länged	1.0	
vergesisch	1.0	
glichfals	1.0	
Moin	1.0	
moin	1.0	
plakatzügs	1.0	
kömmeret	1.0	
redactedQ9tokens53characters	1.0	
abgseit	1.0	
wöu	1.0	
redactedQ10tokens57characters	1.0	
wäred	1.0	
här	1.0	
demm	1.0	
entschuldigt	1.0	
nochefrogt	1.0	
desne	1.0	
fendi	1.0	
woche	1.0	
schiferie	1.0	
maturapriis	1.0	
wechtig	1.0	
nehme	1.0	
wörd	1.0	
schüeler	1.0	
nöime	1.0	
redactedQ15tokens83characters	1.0	
p	1.0	
synchron	1.0	
Ebbe	1.0	
setted	1.0	
koh	1.0	
margelacker	1.0	
redactedQ14tokens68characters	1.0	
Demfall	1.0	
ged	1.0	
gönnd	1.0	
dämlech	1.0	
emojiQdisappointedButRelievedFace	1.0	
heder	1.0	
Klar	1.0	
heschs	1.0	
Jäso	1.0	
Danggeschön	1.0	
gliner	1.0	
doof	1.0	
gsänd	1.0	
Bye	1.0	
nochdem	1.0	
dine	1.0	
brief	1.0	
freii	1.0	
plätz	1.0	
kah	1.0	
wönsche	1.0	
tshirts	1.0	
redactedQ15tokens74characters	1.0	
okey	1.0	
zemlech	1.0	
azieh	1.0	
vollkritzlet	1.0	
redactedQ18tokens90characters	1.0	
redactedQ15tokens86characters	1.0	
Ihnen	1.0	
Bescheid	1.0	
nocher	1.0	
geben	1.0	
okk	1.0	
Wir	1.0	
dütsch	1.0	
redactedQ16tokens97characters	1.0	
Schaffsch	1.0	
erennere	1.0	
aleisch	1.0	
Do	1.0	
wäremer	1.0	
hoseazug	1.0	
émile	1.0	
nommere	1.0	
sösch	1.0	
metteile	1.0	
fascht	1.0	
esst	1.0	
chönnz	1.0	
gschmacksach	1.0	
got	1.0	
hedüte	1.0	
redactedQ43tokens213characters	1.0	
oug	1.0	
bhautet	1.0	
öbernemmsch	1.0	
cheggt	1.0	
jz	1.0	
redactedQ13tokens68characters	1.0	
Hed	1.0	
fröid	1.0	
hanni	1.0	
bescht	1.0	
Hinecht	1.0	
Eile	1.0	
gemein	1.0	
emojiQvictoryHand	1.0	
nachm	1.0	
franz	1.0	
abschaffe	1.0	
Stimm	1.0	
Ohh	1.0	
jaah	1.0	
müesse	1.0	
nadita	1.0	
jah	1.0	
Whatsapp	1.0	
wyona	1.0	
Juan	1.0	
eingeschränkt	1.0	
…	1.0	
dankbar	1.0	
jemand	1.0	
kocht	1.0	
redactedQ22tokens98characters	1.0	
bsetzt	1.0	
öpert	1.0	
zieh	1.0	
halbe	1.0	
bbzf	1.0	
kouft	1.0	
aushältst	1.0	
wüsse	1.0	
schrieb	1.0	
befördert	1.0	
emojiQenvelopeWithDownwardsArrowAbove	1.0	
Chef	1.0	
floyd	1.0	
ängländer	1.0	
trägerin	1.0	
iPhone	1.0	
redactedQ17tokens75characters	1.0	
redactedQ16tokens89characters	1.0	
numerus	1.0	
Prüefig	1.0	
fuer	1.0	
tarek	1.0	
clausus	1.0	
teschtlouf	1.0	
tochter	1.0	
ihrne	1.0	
Eltere	1.0	
momänt	1.0	
zwo	1.0	
kanadierinne	1.0	
fründinne	1.0	
anna	1.0	
muen	1.0	
Ferien	1.0	
emojiQregionalIndicatorSymbolLettersUs	1.0	
unsere	1.0	
emojiQregionalIndicatorSymbolLettersEs	1.0	
alleine	1.0	
chrankheit	1.0	
syge	1.0	
diener	1.0	
Ladebalke	1.0	
hahahahahagagagha	1.0	
konsole	1.0	
beides	1.0	
Rot	1.0	
tarentinoähnlichi	1.0	
referat	1.0	
emojiQwhiteRightPointingBackhandIndex	1.0	
seppa	1.0	
dringend	1.0	
sklavefights	1.0	
schwarzi	1.0	
nomal	1.0	
Geld	1.0	
bulli	1.0	
l	1.0	
jackson	1.0	
unter	1.0	
25	1.0	
brutto	1.0	
gsehts	1.0	
ev.	1.0	
Am	1.0	
würelos	1.0	
zruggfahrsch	1.0	
Aaaaah	1.0	
Wisse	1.0	
emojiQskull	1.0	
aschlussbuss	1.0	
hätti	1.0	
personalahlass	1.0	
ufglese	1.0	
redactedQ8tokens39characters	1.0	
würet	1.0	
Sende	1.0	
ebri	1.0	
chömet	1.0	
chömmer	1.0	
süessi	1.0	
brauchen	1.0	
zemepasset	1.0	
luzern	1.0	
Glück	1.0	
samstiig	1.0	
Chum	1.0	
Dani	1.0	
mitmne	1.0	
redactedQ10tokens45characters	1.0	
blib	1.0	
esh	1.0	
troll	1.0	
wotti	1.0	
dahai	1.0	
bern	1.0	
mobbt	1.0	
kollegin	1.0	
pink	1.0	
Stress	1.0	
zurückbekommst	1.0	
Unfähigkeit	1.0	
ATTACKEEEEE	1.0	
Anna	1.0	
emojiQsparkle	1.0	
Bahnhof	1.0	
geliebt	1.0	
gefunde	1.0	
Bekommst	1.0	
wehmüetig	1.0	
Tim	1.0	
Abe	1.0	
Gwärbschuel-Lehrer	1.0	
;-))	1.0	
hochziit	1.0	
eig	1.0	
Auso	1.0	
Sinn	1.0	
dTüür	1.0	
ufgeit	1.0	
20	1.0	
veranderet	1.0	
Erfolg	1.0	
wirkt	1.0	
settigi	1.0	
gsy	1.0	
hoffnige	1.0	
:-*	1.0	
Opfer	1.0	
merke	1.0	
verby	1.0	
frunde	1.0	
letschti	1.0	
Zyle	1.0	
erschtens	1.0	
Ys	1.0	
dünn	1.0	
zwöitens	1.0	
überhoupt	1.0	
tüei	1.0	
Fründ	1.0	
ep	1.0	
Apple	1.0	
konzentriere	1.0	
redactedQ19tokens99characters	1.0	
Freude	1.0	
riesen	1.0	
existieren	1.0	
eigete	1.0	
Wesen	1.0	
Awalt	1.0	
kleinen	1.0	
sälber	1.0	
Daltons	1.0	
emojiQkissingCatFaceWithClosedEyes	1.0	
zwöi	1.0	
nimi	1.0	
herzen	1.0	
jedoch	1.0	
nebe	1.0	
neb	1.0	
würklech	1.0	
wini	1.0	
begryft	1.0	
nö	1.0	
Chume	1.0	
Ez	1.0	
versteit	1.0	
dasmer	1.0	
redactedQ7tokens54characters	1.0	
Wermi	1.0	
blybt	1.0	
Wohnhuus	1.0	
nes	1.0	
erfreue	1.0	
Tribhuus	1.0	
aweseheit	1.0	
ücherer	1.0	
tänksch	1.0	
alegge	1.0	
chleid	1.0	
muure	1.0	
boue	1.0	
wisses	1.0	
Ferie	1.0	
Schal	1.0	
muschs	1.0	
spetischtens	1.0	
spital	1.0	
reedisch	1.0	
afa	1.0	
n8t	1.0	
verschickst	1.0	
lag	1.0	
irne	1.0	
liebst	1.0	
mittelfinger	1.0	
agspukt	1.0	
Gruppesozialisation	1.0	
kaugummi	1.0	
tolle	1.0	
früechschtens	1.0	
chönn	1.0	
chliin	1.0	
via	1.0	
eme	1.0	
Pics	1.0	
verschwunde	1.0	
des	1.0	
farblich	1.0	
einzige	1.0	
Orschloch	1.0	
chly	1.0	
Hahahahaha	1.0	
nochefroge	1.0	
mischt	1.0	
17.3	1.0	
tofu	1.0	
48	1.0	
überwached	1.0	
fäll	1.0	
gangi	1.0	
hinterhalt	1.0	
kilo	1.0	
lah	1.0	
muskelmasseufbau	1.0	
neigt	1.0	
einzig	1.0	
protein	1.0	
schriib	1.0	
gmotzt	1.0	
verseichts	1.0	
oberkörperlashtig	1.0	
wiise	1.0	
kaputt	1.0	
bohne	1.0	
sauce	1.0	
kh	1.0	
hettet	1.0	
masse	1.0	
nochem	1.0	
stetig	1.0	
reagiert	1.0	
flüg	1.0	
nechshte	1.0	
grilliered	1.0	
vorfahre	1.0	
